Day,Total Energy Produced (kWh),Total Duration (hours)
2022-07-14,3185.4903333333323,14.5
2022-07-15,2700.9361666666673,14.5
2022-07-16,2790.1105,14.333333333333334
2022-07-17,1417.0155,14.333333333333334
2022-07-18,3542.4811666666665,14.333333333333334
2022-07-19,3464.2518333333323,14.333333333333334
2022-07-20,2319.0240000000003,14.333333333333334
2022-07-21,2141.169166666667,14.333333333333334
2022-07-22,3571.3118333333337,14.333333333333334
2022-07-23,2762.8203333333336,14.333333333333334
2022-07-24,2425.0035,14.333333333333334
2022-07-25,1554.7861666666668,14.333333333333334
2022-07-26,3059.812,14.333333333333334
2022-07-27,3652.720833333333,14.333333333333334
2022-07-28,2766.709,14.333333333333334
2022-07-29,2937.0046666666667,14.333333333333334
2022-07-30,2928.905666666666,14.333333333333334
2022-07-31,1136.5016666666666,14.333333333333334
2022-08-01,1842.003666666667,14.333333333333334
2022-08-02,2459.9213333333328,14.333333333333334
2022-08-03,3148.5818333333327,14.166666666666666
2022-08-04,2939.3401666666664,14.166666666666666
2022-08-05,3621.210166666666,14.0
2022-08-06,2179.028,14.0
2022-08-07,3866.4343333333336,14.0
2022-08-08,3721.1316666666667,14.0
2022-08-09,2738.121333333333,14.0
2022-08-10,1975.2990000000002,13.833333333333334
2022-08-11,3800.720666666667,14.0
2022-08-12,3463.044666666666,14.0
2022-08-13,2238.3584999999994,14.0
2022-08-14,2253.922499999999,14.0
2022-08-15,3012.816333333333,14.0
2022-08-16,3353.4806666666664,13.833333333333334
2022-08-17,3564.369,13.833333333333334
2022-08-18,3677.3371666666667,13.833333333333334
2022-08-19,4568.916166666667,13.833333333333334
2022-08-20,3863.157666666666,13.833333333333334
2022-08-21,4097.960666666667,13.833333333333334
2022-08-22,3500.5651666666668,13.833333333333334
2022-08-23,3717.4514999999997,13.5
2022-08-24,4264.620333333333,13.833333333333334
2022-08-25,4244.134833333332,13.833333333333334
2022-08-26,4747.9435,13.833333333333334
2022-08-27,1997.8031666666664,13.5
2022-08-28,1984.1508333333334,13.5
2022-08-29,4528.7086666666655,13.5
2022-08-30,3636.674666666667,13.5
2022-08-31,2563.574666666667,13.5
2022-09-01,1343.6919999999998,13.5
2022-09-02,2547.083,13.5
2022-09-03,4031.821,13.5
2022-09-04,3901.6668333333328,13.5
2022-09-05,3417.4773333333333,13.333333333333334
2022-09-06,3711.279833333333,13.333333333333334
2022-09-07,4118.383833333333,13.333333333333334
2022-09-08,3612.9016666666666,13.333333333333334
2022-09-09,3947.407666666666,13.333333333333334
2022-09-10,4833.957,13.333333333333334
2022-09-11,4096.127,13.333333333333334
2022-09-12,3249.145,13.0
2022-09-13,2170.567666666667,13.333333333333334
2022-09-14,3746.7284999999993,13.166666666666666
2022-09-15,3611.0826666666662,13.166666666666666
2022-09-16,4370.143,13.166666666666666
2022-09-17,3691.5809999999997,13.166666666666666
2022-09-18,4014.3899999999994,13.166666666666666
2022-09-19,3214.6185,13.166666666666666
2022-09-20,3924.2895,13.0
2022-09-21,4371.159166666667,13.0
2022-09-22,3490.224333333333,13.0
2022-09-23,2557.629833333333,12.833333333333334
2022-09-24,2313.2114999999994,12.833333333333334
2022-09-25,2275.914166666667,12.833333333333334
2022-09-26,3671.5416666666665,12.833333333333334
2022-09-27,3805.7885,12.833333333333334
2022-09-28,3617.8896666666656,12.833333333333334
2022-09-29,3512.8214999999996,12.833333333333334
2022-09-30,4212.307500000001,12.833333333333334
2022-10-01,3893.7253333333333,12.833333333333334
2022-10-02,2548.2526666666668,12.666666666666666
2022-10-03,1523.748333333333,12.5
2022-10-04,3221.3541666666665,12.666666666666666
2022-10-05,3598.3466666666664,12.666666666666666
2022-10-06,4319.302999999999,12.666666666666666
2022-10-07,4333.511333333332,12.666666666666666
2022-10-08,3740.3533333333326,12.666666666666666
2022-10-09,2217.126166666667,12.666666666666666
2022-10-10,3103.697833333333,12.666666666666666
2022-10-11,1910.7416666666666,12.166666666666666
2022-10-12,1569.567833333333,12.5
2022-10-13,1775.6384999999998,12.333333333333334
2022-10-14,3919.2793333333334,12.333333333333334
2022-10-15,3970.616833333333,12.333333333333334
2022-10-16,3891.0043333333333,12.333333333333334
2022-10-17,3680.8913333333335,12.333333333333334
2022-10-18,3935.261166666666,12.333333333333334
2022-10-19,3936.9364999999993,12.333333333333334
2022-10-20,3986.0241666666666,12.333333333333334
2022-10-21,4080.2891666666665,12.333333333333334
2022-10-22,4085.5088333333333,12.333333333333334
2022-10-23,1358.1198333333334,12.166666666666666
2022-10-24,716.4263333333333,12.166666666666666
2022-10-25,409.80833333333334,12.166666666666666
2022-10-26,2187.8408333333336,12.166666666666666
2022-10-27,3211.694333333333,12.166666666666666
2022-10-28,3601.146,12.166666666666666
2022-10-29,3514.1551666666664,12.166666666666666
2022-10-30,3526.0626666666662,12.0
2022-10-31,3122.9429999999998,12.0
2022-11-01,3773.815,12.0
2022-11-02,3042.7028333333333,12.0
2022-11-03,3460.081333333333,12.0
2022-11-04,3875.8479999999995,12.0
2022-11-05,3980.7505,11.833333333333334
2022-11-06,3847.146333333333,11.833333333333334
2022-11-07,3882.701,11.833333333333334
2022-11-08,3654.8156666666664,11.833333333333334
2022-11-09,3813.3396666666667,11.833333333333334
2022-11-10,3499.359166666666,11.833333333333334
